City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Mar Del Plata,AR,-38.0023,-57.5575,54.88,77,0,8.99,clear sky
198,Bukama,CD,-9.2,25.85,70.23,78,31,1.43,scattered clouds
199,Saint-Louis,SN,16.3333,-15.0,85.23,17,16,8.95,few clouds
200,Henties Bay,NA,-22.116,14.2845,57.92,94,22,5.84,few clouds
201,Tuatapere,NZ,-46.1333,167.6833,67.82,47,75,4.74,broken clouds
202,Kastamonu,TR,41.5,33.6667,48.0,52,12,2.46,few clouds
203,Itaituba,BR,-4.2761,-55.9836,79.32,68,30,1.86,scattered clouds
204,Plettenberg Bay,ZA,-34.0527,23.3716,57.04,81,30,2.8,scattered clouds
205,Haimen,CN,23.1935,116.6142,76.8,77,0,1.68,clear sky
206,Centralia,US,46.7162,-122.9543,49.42,81,1,0.0,clear sky
207,Ugoofaaru,MV,5.6667,73.0,81.77,79,100,16.51,overcast clouds
208,Thinadhoo,MV,0.5333,72.9333,78.39,86,100,23.31,overcast clouds
209,Kaniama,CD,-7.5667,24.1833,62.44,92,100,3.04,overcast clouds
210,Opuwo,NA,-18.0607,13.84,72.16,27,6,4.97,clear sky
211,Carnarvon,AU,-24.8667,113.6333,69.87,60,0,26.46,clear sky
212,Chokurdakh,RU,70.6333,147.9167,1.98,86,100,5.32,overcast clouds
213,Nehe,CN,48.4833,124.8333,23.9,29,100,15.66,overcast clouds
214,Sangar,RU,63.9242,127.4739,1.2,96,100,9.73,light snow
215,Hunchun,CN,42.8675,130.3581,53.1,72,11,1.3,few clouds
216,Santarem,BR,-2.4431,-54.7083,75.33,100,0,0.0,clear sky
217,Fortuna,US,40.5982,-124.1573,54.43,68,100,4.0,overcast clouds
218,Catemaco,MX,18.4167,-95.1167,73.15,90,95,4.54,overcast clouds
219,Touros,BR,-5.1989,-35.4608,81.5,84,23,9.22,few clouds
220,Kuvandyk,RU,51.4781,57.3552,24.75,41,95,4.5,overcast clouds
221,Sikeston,US,36.8767,-89.5879,44.78,75,1,0.0,clear sky
222,Luanda,AO,-8.8368,13.2343,77.0,83,20,6.91,light rain
223,Riohacha,CO,11.5444,-72.9072,80.06,71,100,8.97,overcast clouds
224,Port Moresby,PG,-9.4431,147.1797,85.01,67,99,5.73,overcast clouds
225,Loei,TH,17.4167,101.5,68.13,85,81,1.14,broken clouds
226,Souris,CA,49.6172,-100.2612,50.07,63,100,9.51,overcast clouds
227,San Patricio,US,28.017,-97.5169,64.49,61,0,5.7,clear sky
228,Praia,CV,14.9215,-23.5087,75.74,88,20,14.97,few clouds
229,Pandan,PH,14.0453,124.1694,84.33,74,36,6.73,scattered clouds
230,Monte Escobedo,MX,22.3,-103.5833,59.86,39,68,2.57,broken clouds
231,Ribeira Grande,PT,38.5167,-28.7,69.03,95,100,24.32,overcast clouds
232,Saint-Pierre,RE,-21.3393,55.4781,71.29,68,0,4.61,clear sky
233,Zhigansk,RU,66.7697,123.3711,5.07,94,100,24.27,light snow
234,Quatre Cocos,MU,-20.2078,57.7625,71.1,84,12,10.85,few clouds
235,Karpathos,GR,35.507,27.2132,67.96,83,100,11.5,overcast clouds
236,Egvekinot,RU,66.3167,-179.1667,-5.69,82,1,5.57,clear sky
237,Alyangula,AU,-13.8483,136.4192,87.42,58,71,10.51,broken clouds
238,Sorong,ID,-0.8833,131.25,83.68,73,99,2.59,overcast clouds
239,Oriximina,BR,-1.7656,-55.8661,78.24,80,75,4.25,broken clouds
240,Odweyne,SO,9.4092,45.064,66.99,26,5,8.95,clear sky
241,Ulaanbaatar,MN,47.9077,106.8832,-0.27,65,0,2.24,clear sky
242,Sobolevo,RU,54.4299,31.8996,42.69,82,100,13.65,overcast clouds
243,Cabo San Lucas,MX,22.8909,-109.9124,80.62,69,1,2.3,clear sky
244,Sault Sainte Marie,CA,46.5168,-84.3333,46.96,53,1,6.91,clear sky
245,Mocuba,MZ,-16.8392,36.9856,69.37,95,18,3.51,few clouds
246,Kunming,CN,25.0389,102.7183,57.04,82,6,3.89,clear sky
247,Placido De Castro,BR,-10.3353,-67.1856,75.58,79,28,1.86,scattered clouds
248,Oistins,BB,13.0667,-59.5333,80.69,78,40,19.57,scattered clouds
249,Patti,IN,31.2808,74.8572,60.75,43,0,4.65,clear sky
250,Lamu,KE,-2.2717,40.902,77.22,81,53,10.98,broken clouds
251,Kyabram,AU,-36.3167,145.05,77.88,46,82,8.81,broken clouds
252,Mula,ES,38.0409,-1.4901,49.33,52,100,11.3,overcast clouds
253,Coquimbo,CL,-29.9533,-71.3436,55.71,80,1,4.38,clear sky
254,Thompson,CA,55.7435,-97.8558,34.43,77,100,2.86,overcast clouds
255,Peniche,PT,39.3558,-9.3811,56.62,79,0,11.88,clear sky
256,Rio Grande,BR,-32.035,-52.0986,64.94,94,100,21.0,overcast clouds
257,Hamilton,US,39.1834,-84.5333,43.41,73,1,0.0,clear sky
258,Mandalay,MM,21.9747,96.0836,75.29,86,73,2.86,broken clouds
259,Ouahigouya,BF,13.5828,-2.4216,85.1,25,4,5.84,clear sky
260,Petropavl,KZ,54.8753,69.1628,31.06,72,100,12.71,overcast clouds
261,Roros,NO,62.5747,11.3842,30.04,86,90,5.75,snow
262,Ust-Karsk,RU,52.7011,118.8077,13.26,41,10,8.59,clear sky
263,Pandan Niog,PH,6.2282,120.5631,82.71,76,25,4.83,scattered clouds
264,Sabi,GM,13.2333,-14.2,80.49,61,0,4.76,clear sky
265,Cauquenes,CL,-35.9671,-72.3225,53.67,60,0,5.3,clear sky
