City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
468,Santa Isabel Do Rio Negro,BR,75.4,overcast clouds,-0.4139,-65.0192,Hotel GSA
469,Auki,SB,86.14,scattered clouds,-8.7676,160.7034,Auki Motel
471,Boa Vista,BR,82.38,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
472,Bac Lieu,VN,84.47,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
474,Sumbe,AO,75.06,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
478,Almeirim,BR,78.31,broken clouds,-1.5233,-52.5817,Ricácio Hotel
479,Ulladulla,AU,79.77,scattered clouds,-35.35,150.4667,Sandpiper Motel
480,Sinnamary,GF,78.13,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
482,Dicabisagan,PH,86.45,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
483,Bobo Dioulasso,BF,77.45,clear sky,11.1771,-4.2979,RAN Hotel Somketa
485,Coahuayana,MX,76.01,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
486,Wagar,SD,77.63,clear sky,16.1525,36.2032,
487,Kudahuvadhoo,MV,83.5,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
495,Cockburn Town,TC,83.35,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
496,Quang Ngai,VN,82.98,few clouds,15.1167,108.8,Central Hotel
500,Gizo,SB,84.56,scattered clouds,-8.103,156.8419,Imagination Island
501,Nabire,ID,85.69,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
509,Bourail,NC,76.48,few clouds,-21.5667,165.4833,Motel Allamanda
514,Anuradhapura,LK,80.6,scattered clouds,8.3565,80.4173,Nilketha Villa Eco Hotel
518,Marsh Harbour,BS,78.78,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
528,Bulri,PK,78.62,overcast clouds,24.8667,68.3333,
531,Metro,ID,85.41,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
537,Omboue,GA,75.87,overcast clouds,-1.5746,9.2618,Hotel Olako
539,Tucuma,BR,76.96,scattered clouds,-0.1833,-50.05,
542,Sorong,ID,83.64,broken clouds,-0.8833,131.25,waigo splash hotel
543,Kirakira,SB,85.55,few clouds,-10.4544,161.9205,SanBiz Lodge
561,Dhandhuka,IN,75.74,overcast clouds,22.3667,71.9833,Amin Auto
562,Wewak,PG,85.23,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
571,Kanel,SN,87.35,clear sky,15.4916,-13.1763,
574,Pundaguitan,PH,83.3,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
577,Buala,SB,86.07,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
579,Kaohsiung,TW,87.89,few clouds,22.6163,120.3133,御宿商旅-中山館
581,Ternate,ID,86.05,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
585,Takoradi,GH,76.32,overcast clouds,4.8845,-1.7554,Raybow International Hotel
594,Papara,BR,79.68,overcast clouds,-3.9839,-38.7273,Romin
596,Macau,MO,84.78,few clouds,22.2006,113.5461,Grand Emperor Hotel
598,Kieta,PG,85.46,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
600,Lazaro Cardenas,MX,77.79,broken clouds,17.9583,-102.2,quinta antigua
610,Samarai,PG,84.88,scattered clouds,-10.6167,150.6667,Nuli Sapi
612,Puli,TW,87.22,clear sky,23.9664,120.9695,小島好樂
616,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
622,Mogadishu,SO,78.48,clear sky,2.0371,45.3438,Hotel Juba
627,Beihai,CN,79.16,scattered clouds,21.4833,109.1,21 Degree Hostel
629,Maun,BW,75.16,clear sky,-19.9833,23.4167,Enviro Villa
633,Batu,ID,77.54,moderate rain,-7.87,112.5283,Pondok Jatim Park Hotel & Café
635,Biak,ID,82.09,broken clouds,-0.9131,122.8766,Penginapan Kim
637,Mitsamiouli,KM,79.07,overcast clouds,-11.3847,43.2844,Foyer ADM
639,Sibolga,ID,76.8,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
642,Umarkot,PK,78.1,overcast clouds,25.3616,69.7362,Al-Qamar Boys Hostel
645,Miri,MY,84.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
646,Batticaloa,LK,80.96,broken clouds,7.7102,81.6924,Grand Star Guest House
647,Puerto Carreno,CO,78.58,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
649,Kendari,ID,78.71,overcast clouds,-3.945,122.4989,Hotel Wixel
659,Champerico,GT,80.76,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
660,Port Macquarie,AU,75.16,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
663,Shakawe,BW,75.6,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
672,Waingapu,ID,88.84,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
674,Trinidad,BO,77.11,broken clouds,-14.8333,-64.9,Hotel Piesta
675,Charlestown,AU,86.22,broken clouds,-32.95,151.6667,Panorama Motor Inn Hotel
680,Chazuta,PE,76.05,moderate rain,-6.5742,-76.1367,Hospedaje Feliz Amanecer
683,Kihei,US,84.22,few clouds,20.785,-156.4656,Maui Sunset
685,Wattegama,LK,79.72,overcast clouds,6.7989,81.4808,
687,Vinh,VN,81.36,overcast clouds,18.6667,105.6667,Khách Sạn Thương Mại
688,Minbu,MM,82.0,broken clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
